Goroka Airport,GKA
North Central State Airport,SFZ
Mobile Regional Airport,MOB
Moffett Federal Airfield,NUQ
Santa Fe Municipal Airport,SAF
Barking Sands Airport,BKH
Beauregard Regional Airport,DRI
Bradshaw Army Airfield,BSF
Nogales International Airport,OLS
Mac Dill Air Force Base,MCF
Scott AFB/Midamerica Airport,BLV
Opa-locka Executive Airport,OPF
Del Rio International Airport,DRT
Southwest Florida International Airport,RSW
King Salmon Airport,AKN
Muir Army Air Field (Fort Indiantown Gap) Airport,MUI
Kapalua Airport,JHM
John F Kennedy International Airport,JFK
Homestead ARB Airport,HST
Riverside Municipal Airport,RAL
Sherman Army Air Field,FLV
Wallops Flight Facility Airport,WAL
Holloman Air Force Base,HMN
Willow Grove Naval Air Station/Joint Reserve Base,NXX
Cheyenne Regional Jerry Olson Field,CYS
Stockton Metropolitan Airport,SCK
Charleston Air Force Base-International Airport,CHS
Reno Tahoe International Airport,RNO
Ketchikan International Airport,KTN
Willow Run Airport,YIP
Vandenberg Air Force Base,VBG
Birmingham-Shuttlesworth International Airport,BHM
Lakehurst Maxfield Field Airport,NEL
Nellis Air Force Base,LSV
March ARB Airport,RIV
Modesto City Co-Harry Sham Field,MOD
Sacramento International Airport,SMF
Waukegan National Airport,UGN
City of Colorado Springs Municipal Airport,COS
Buffalo Niagara International Airport,BUF
Griffing Sandusky Airport,SKY
Snohomish County (Paine Field) Airport,PAE
Mountain Home Air Force Base,MUO
Cedar City Regional Airport,CDC
Bradley International Airport,BDL
Mc Allen Miller International Airport,MFE
Norfolk Ns (Chambers Fld) Airport,NGU
Westover ARB/Metropolitan Airport,CEF
Lubbock Preston Smith International Airport,LBB
Chicago O'Hare International Airport,ORD
Boca Raton Airport,BCT
Fairbanks International Airport,FAI
Quantico MCAF /Turner field,NYG
Cannon Air Force Base,CVS
Kaneohe Bay MCAS (Marion E. Carl Field) Airport,NGF
Offutt Air Force Base,OFF
Gulkana Airport,GKN
Watertown International Airport,ART
Palm Springs International Airport,PSP
Rick Husband Amarillo International Airport,AMA
Fort Dodge Regional Airport,FOD
Barksdale Air Force Base,BAD
Topeka Regional Airport - Forbes Field,FOE
Cotulla-La Salle County Airport,COT
Wilmington International Airport,ILM
Baton Rouge Metropolitan,United States
Tyler Pounds Regional Airport,TYR
Baltimore/Washington International Thurgood Marshall Airport,BWI
Hobart Regional Airport,HBR
Lanai Airport,LNY
Alexandria International Airport,AEX
Condron Army Air Field,WSD
Cold Bay Airport,CDB
Tulsa International Airport,TUL
Sitka Rocky Gutierrez Airport,SIT
Long Island Mac Arthur Airport,ISP
Minneapolis-St Paul International/Wold-Chamberlain Airport,MSP
New Castle Airport,ILG
Unalaska Airport,DUT
Louis Armstrong New Orleans International Airport,MSY
Portland International Jetport Airport,PWM
Will Rogers World Airport,OKC
Albany International Airport,ALB
Valdez Pioneer Field,VDZ
Langley Air Force Base,LFI
John Wayne Airport-Orange County Airport,SNA
Columbus Air Force Base,CBM
Kendall-Tamiami Executive Airport,TMB
Oceana NAS,NTU
Grissom Air Reserve Base,GUS
Casper-Natrona County International Airport,CPR
Destin-Ft Walton Beach Airport,VPS
Craig Field,SEM
Key West International Airport,EYW
Charlotte Douglas International Airport,CLT
McCarran International Airport,LAS
Orlando International Airport,MCO
Florence Regional Airport,FLO
Great Falls International Airport,GTF
Youngstown Warren Regional Airport,YNG
Ladd AAF Airfield,FBK
Mc Minnville Municipal Airport,MMV
Robins Air Force Base,WRB
Suvarnabhumi Airport,BKK
Naha Airport,NAH
Andi Jemma Airport,\N
Soroako Airport,\N
Pongtiku Airport,TTR
Wolter Monginsidi Airport,KDI
Maimun Saleh Airport,SBG
Cibeureum Airport,\N
Iswahyudi Airport,\N
Abdul Rachman Saleh Airport,MLG
Budiarto Airport,\N
Husein Sastranegara International Airport,BDO
Penggung Airport,CBN
Adi Sutjipto International Airport,JOG
Tunggul Wulung Airport,CXP
Pondok Cabe Air Base,PCB
Achmad Yani Airport,SRG
Hang Nadim International Airport,BTH
Buluh Tumbang (H A S Hanandjoeddin) Airport,TJQ
Pangkal Pinang (Depati Amir) Airport,PGK
Raja Haji Fisabilillah International Airport,TNJ
Dabo Airport,SIQ
Syamsudin Noor Airport,BDJ
Batu Licin Airport,\N
Iskandar Airport,PKN
Tjilik Riwut Airport,PKY
Maumere(Wai Oti) Airport,MOF
Ende (H Hasan Aroeboesman) Airport,ENE
Frans Sales Lega Airport,RTG
El Tari Airport,KOE
Komodo (Mutiara II) Airport,LBJ
Sultan Aji Muhamad Sulaiman Airport,BPN
Juwata Airport,TRK
Temindung Airport,SRI
Tanjung Santan Airport,\N
Selaparang Airport,AMI
Muhammad Salahuddin Airport,BMU
Waingapu Airport,WGP
Juanda International Airport,SUB
Adi Sumarmo Wiryokusumo Airport,SOC
Incheon International Airport,ICN
Chiang Mai International Airport,CNX
Chiang Rai International Airport,CEI
Nakhon Si Thammarat Airport,NST
Nakhon Ratchasima Airport,NAK
Nakhon Phanom Airport,KOP
Ubon Ratchathani Airport,UBP
Khon Kaen Airport,KKC
Sukhothai Airport,THS
Ngurah Rai (Bali) International Airport,DPS
Eleftherios Venizelos International Airport,ATH
Chubu Centrair International Airport,NGO
Kobe Airport,UKB
Pullman Moscow Regional Airport,PUW
Lewiston Nez Perce County Airport,LWS
Elmira Corning Regional Airport,ELM
Ithaca Tompkins Regional Airport,ITH
Monterey Peninsula Airport,MRY
Santa Barbara Municipal Airport,SBA
Daytona Beach International Airport,DAB
Liepāja International Airport,LPX
Riga International Airport,RIX
Šiauliai International Airport,SQQ
Barysiai Airport,HLJ
Kaunas International Airport,KUN
S. Darius and S. Girėnas Airport,\N
Palanga International Airport,PLQ
Vilnius International Airport,VNO
Panevėžys Air Base,PNV
Erebuni Airport,\N
Stepanavan Airport,\N
Zvartnots International Airport,EVN
Gyumri Shirak Airport,LWN
Assab International Airport,ASA
Asmara International Airport,ASM
Massawa International Airport,MSW
Yasser Arafat International Airport,GZA
Batumi International Airport,BUS
Kopitnari Airport,KUT
Tbilisi International Airport,TBS
Mukalla International Airport,RIY
Ta'izz International Airport,TAI
Hodeidah International Airport,HOD
Aden International Airport,ADE
Ataq Airport,AXK
Al Ghaidah International Airport,AAY
Sana'a International Airport,SAH
Beihan Airport,BHN
Socotra International Airport,SCT
Al Badie Airport,\N
Memmingen Allgau Airport,FMM
Nevşehir Kapadokya Airport,NAV
Ministro Pistarini International Airport,EZE
Erbil International Airport,EBL
Emerald Airport,EMD
Athen Helenikon Airport,HEW
Kansai International Airport,KIX
Tagbilaran Airport,TAG
Ilulissat Airport,JAV
Qasigiannguit Heliport,JCH
Aasiaat Airport,JEG
Palma De Mallorca Airport,PMI
Darwin International Airport,DRW
Surat Thani Airport,URT
Talkeetna Airport,TKA
Xewkija Heliport,GZM
Tweed New Haven Airport,HVN
Asheville Regional Airport,AVL
Piedmont Triad International Airport,GSO
Joe Foss Field Airport,FSD
Ayers Rock Connellan Airport,AYQ
Manchester Airport,MHT
Naples Municipal Airport,APF
LTS Pulau Redang Airport,RDN
Louisville International Standiford Field,SDF
Charlottesville Albemarle Airport,CHO
Roanoke–Blacksburg Regional Airport,ROA
Blue Grass Airport,LEX
Evansville Regional Airport,EVV
Albuquerque International Sunport Airport,ABQ
Gallatin Field,BZN
Billings Logan International Airport,BIL
Bert Mooney Airport,BTM
Cherry Capital Airport,TVC
Mundo Maya International Airport,FRS
Hancock County-Bar Harbor Airport,BHB
Knox County Regional Airport,RKD
Jackson Hole Airport,JAC
Chicago Rockford International Airport,RFD
Domodedovo International Airport,DME
Sanya Phoenix International Airport,SYX
Milford Sound Airport,MFN
Lijiang Airport,LJG
Greenville Spartanburg International Airport,GSP
Central Illinois Regional Airport at Bloomington-Normal,BMI
Gulfport Biloxi International Airport,GPT
Kalamazoo Battle Creek International Airport,AZO
Toledo Express Airport,TOL
Fort Wayne International Airport,FWA
Decatur Airport,DEC
The Eastern Iowa Airport,CID
La Crosse Municipal Airport,LSE
Central Wisconsin Airport,CWA
General Wayne A. Downing Peoria International Airport,PIA
Appleton International Airport,ATW
Rochester International Airport,RST
University of Illinois Willard Airport,CMI
Manhattan Regional Airport,MHK
Kingscote Airport,KGC
Hervey Bay Airport,HVB
Dali Airport,DLU
Mulu Airport,MZV
Sharm El Sheikh International Airport,SSH
Venango Regional Airport,FKL
Jomo Kenyatta International Airport,NBO
Seronera Airport,SEU
El Calafate Airport,FTE
Armidale Airport,ARM
Grand Junction Regional Airport,GJT
St George Municipal Airport,SGU
David Wayne Hooks Memorial Airport,DWH
Port O'Connor Private Airport,S46
Sarasota Bradenton International Airport,SRQ
L.F. Wade International International Airport,BDA
Van Nuys Airport,VNY
Quad City International Airport,MLI
Panama City-Bay Co International Airport,PFN
Honiara International Airport,HIR
Faa'a International Airport,PPT
Nauru International Airport,INU
Funafuti International Airport,FUN
Tolmachevo Airport,OVB
Samsø Airport,\N
Xieng Khouang Airport,XKH
Bismarck Municipal Airport,BIS
Telluride Regional Airport,TEX
Yinchuan Airport,INC
Mae Hong Son Airport,HGN
Rapid City Regional Airport,RAP
Mc Clellan-Palomar Airport,CLD
Bishop International Airport,FNT
Francisco Bangoy International Airport,DVO
Madeira Airport,FNC
Maestro Wilson Fonseca Airport,STM
Sihanoukville International Airport,KOS
Ekati Airport,YOA
Hawke's Bay Airport,NPE
Levuka Airfield,LEV
Lhasa Gonggar Airport,LXA
Redding Municipal Airport,RDD
Mahlon Sweet Field,EUG
Idaho Falls Regional Airport,IDA
Rogue Valley International Medford Airport,MFR
Kaikoura Airport,KBZ
Roberts Field,RDM
Picton Aerodrome,PCN
Hosea Kutako International Airport,WDH
Victoria Harbour Seaplane Base,YWH
Coal Harbour Seaplane Base,\N
Yaoqiang Airport,TNA
Changzhou Benniu Airport,CZX
Yibin Caiba Airport,YBP
Roshchino International Airport,TJM
Akron Canton Regional Airport,CAK
Huntsville International Carl T Jones Field,HSV
Mid Ohio Valley Regional Airport,PKB
Montgomery Regional (Dannelly Field) Airport,MGM
Tri Cities Regional Tn Va Airport,TRI
Barkley Regional Airport,PAH
Djibouti-Ambouli Airport,JIB
Haikou Meilan International Airport,HAK
Mafia Island Airport,MFA
Page Municipal Airport,PGA
Utila Airport,UII
Glacier Park International Airport,FCA
MBS International Airport,MBS
Greater Binghamton/Edwin A Link field,BGM
Baghdad International Airport,BGW
Nan Airport,NNT
Roi Et Airport,ROI
Buri Ram Airport,BFV
Trat Airport,TDX
Blythe Airport,BLH
Al Asad Air Base,\N
Al Taqaddum Air Base,\N
Joint Base Balad,\N
Clark International Airport,CRK
Sandakan Airport,SDK
Luang Namtha Airport,LXG
Oudomsay Airport,ODY
Taoxian Airport,SHE
John A. Osborne Airport,MNI
Petersburg James A Johnson Airport,PSG
Luoyang Airport,LYA
Xuzhou Guanyin Airport,XUZ
Magway Airport,MWQ
Kanti Airport,KHM
Lien Khuong Airport,DLI
Rach Gia Airport,VKG
Cà Mau Airport,CAH
Chu Lai International Airport,VCL
Dong Tac Airport,TBB
Mae Hong Son Airport,PYY
Bol Airport,BWK
Yaoundé Nsimalen International Airport,NSI
Conakry International Airport,CKY
Aachen-Merzbrück Airport,AAH
Karlsruhe Baden-Baden Airport,FKB
Orlando Sanford International Airport,SFB
John Murtha Johnstown Cambria County Airport,JST
Lukla Airport,LUA
Bhojpur Airport,BHP
Lamidanda Airport,LDN
Jomsom Airport,JMO
Manang Airport,NGX
Phaplu Airport,PPL
Rumjatar Airport,RUM
Tulsipur Airport,DNP
Rukumkot Airport,RUK
Jumla Airport,JUM
Taplejung Airport,TPJ
Tumling Tar Airport,TMI
Surkhet Airport,SKH
Simikot Airport,IMK
Dolpa Airport,DOP
Bajhang Airport,BJH
Dhangarhi Airport,DHI
Muan International Airport,MWX
Astypalaia Airport,JTY
Ikaria Airport,JIK
Kalymnos Airport,JKL
Milos Airport,MLO
Naxos Airport,JNX
Paros Airport,PAS
Kastelorizo Airport,KZS
Marsa Alam International Airport,RMF
Weeze Airport,NRN
Francisco B. Reyes Airport,USU
Bancasi Airport,BXU
Dipolog Airport,DPL
Laoag International Airport,LAO
Legazpi City International Airport,LGP
Labo Airport,OZC
Mactan Cebu International Airport,CEB
Norden-Norddeich Airport,NOE
Juist Airport,JUI
Porto Seguro Airport,BPS
Iguatu Airport,\N
Brigadeiro Lysias Rodrigues Airport,PMW
Nelson Ribeiro Guimarães Airport,CLV
Missoula International Airport,MSO
Blackall Airport,BKQ
Bundaberg Airport,BDB
Grand Canyon National Park Airport,GCN
Sugar Land Regional Airport,SGR
Hayman Island Heliport,HIS
Centennial Airport,APA
Clovis Municipal Airport,CVN
Fort Stockton Pecos County Airport,FST
Las Vegas Municipal Airport,LVS
West Houston Airport,IWS
La Junta Municipal Airport,LHX
Las Cruces International Airport,LRU
Stephens County Airport,BKD
Draughon Miller Central Texas Regional Airport,TPL
Ozona Municipal Airport,OZA
Kaadedhdhoo Airport,KDM
Aklavik/Freddie Carmichael Airport,LAK
Déline Airport,YWJ
Tulita Airport,ZFN
Fort Good Hope Airport,YGH
Tanna Airport,TAH
Paulatuk (Nora Aliqatchialuk Ruben) Airport,YPC
El Trompillo Airport,SRZ
Juancho E. Yrausquin Airport,SAB
Eagle County Regional Airport,EGE
Stokmarknes Skagen Airport,SKN
Cuyahoga County Airport,CGF
Mansfield Lahm Regional Airport,MFD
Columbus Metropolitan Airport,CSG
Lawton Fort Sill Regional Airport,LAW
Fort Collins Loveland Municipal Airport,FNL
Flagstaff Pulliam Airport,FLG
Lake Tahoe Airport,TVL
Joslin Field Magic Valley Regional Airport,TWF
Martha's Vineyard Airport,MVY
Concord Municipal Airport,CON
Groton New London Airport,GON
St Cloud Regional Airport,STC
Qinhuangdao Beidaihe Airport,BPE
Golden Triangle Regional Airport,GTR
Nizhny Novgorod Strigino International Airport,GOJ
Bowerman Airport,HQM
Erie International Tom Ridge Field,ERI
Barnstable Municipal Boardman Polando Field,HYA
Sedona Airport,SDX
Morgantown Municipal Walter L. Bill Hart Field,MGW
Yeager Airport,CRW
Wilkes Barre Scranton International Airport,AVP
Bemidji Regional Airport,BJI
Thangool Airport,THG
Fagali'i Airport,FGI
Ballina Byron Gateway Airport,BNK
Hector International Airport,FAR
Charles B. Wheeler Downtown Airport,MKC
Ratanakiri Airport,RBE
Gillette Campbell County Airport,GCC
Bogashevo Airport,TOF
Phetchabun Airport,PHY
Chumphon Airport,CJM
Jiuzhai Huanglong Airport,JZH
Jieyang Chaoshan International Airport,SWA
Enghien Moisselles Airport,\N
Cheddi Jagan International Airport,GEO
Guarani International Airport,AGT
Ogle Airport,OGL
Kaieteur International Airport,KAI
Dunhuang Airport,DNH
Ancona Falconara Airport,AOI
Chamonate Airport,CPO
Taba International Airport,TCP
Edward Bodden Airfield,LYB
Milas Bodrum International Airport,BJV
Tabarka 7 Novembre Airport,TBJ
Sabiha Gökçen International Airport,SAW
University Park Airport,SCE
Broome International Airport,BME
Newcastle Airport,NTL
Bakki Airport,\N
Klagenfurt Airport,KLU
Hammerfest Airport,HFT
Valan Airport,HVG
Mehamn Airport,MEH
Vadsø Airport,VDS
Imam Khomeini International Airport,IKA
Mashhad International Airport,MHD
Ust-Ilimsk Airport,UIK
Key Field,MEI
Abraham Lincoln Capital Airport,SPI
Cortez Municipal Airport,CEZ
Yampa Valley Airport,HDN
Gallup Municipal Airport,GUP
Liberal Mid-America Regional Airport,LBL
Lamar Municipal Airport,LAA
Renner Field-Goodland Municipal Airport,GLD
Yellowstone Regional Airport,COD
Ørsta-Volda Airport,Norway
St. Mary's Airport,ISC
Springfield Branson National Airport,SGF
Narvik Framnes Airport,NVK
Berlevåg Airport,BVG
Oslo,Norway
Norilsk-Alykel Airport,NSK
Anapa Vityazevo Airport,AAQ
Joplin Regional Airport,JLN
Lehigh Valley International Airport,ABE
Northwest Arkansas Regional Airport,XNA
Atyrau Airport,GUW
Kzyl-Orda Southwest Airport,KZO
South Bend Regional Airport,SBN
Bykovo Airport,BKA
Talagi Airport,ARH
Saratov Central Airport,RTW
Novy Urengoy Airport,NUX
Noyabrsk Airport,NOJ
Aktau Airport,SCO
Ukhta Airport,UCT
Usinsk Airport,USK
Pechora Airport,PEX
Naryan Mar Airport,NNM
Pskov Airport,PKV
Kogalym International Airport,KGP
Yemelyanovo Airport,KJA
Sary-Arka Airport,KGF
Novosibirsk North Airport,\N
Uray Airport,URJ
Ivanovo South Airport,IWA
Longjia Airport,CGQ
Niigata Airport,KIJ
Johnston Atoll Airport,JON
Smith Field,SMD
Arcata Airport,ACV
Albert J Ellis Airport,OAJ
Tuscaloosa Regional Airport,TCL
Dubuque Regional Airport,DBQ
Shun Tak Heliport,\N
Uru Harbour Airport,ATD
Auki Airport,AKS
Ballalae Airport,BAS
Fera/Maringe Airport,FRE
Babanakira Airport,MBU
Ngorangora Airport,IRA
Santa Cruz/Graciosa Bay/Luova Airport,SCZ
Munda Airport,MUA
Nusatupe Airport,GZO
Mono Airport,MNY
Rennell/Tingoa Airport,RNL
Marau Airport,RUS
Suavanao Airport,VAO
Kaghau Airport,KGE
Ramata Airport,RBV
Buka Airport,BUA
Chimbu Airport,CMU
Daru Airport,DAU
Gurney Airport,GUR
Girua Airport,PNP
Kimbe Airport,HKN
Kiunga Airport,UNG
Kikori Airport,KRI
Kerema Airport,KMA
Kavieng Airport,KVG
Mendi Airport,MDU
Momote Airport,MAS
Moro Airport,MXH
Misima Island Airport,MIS
Tari Airport,TIZ
Tabubil Airport,TBG
Tokua Airport,RAB
Vanimo Airport,VAI
Wapenamanda Airport,WBM
Alluitsup Paa Heliport,LLU
Neerlerit Inaat Airport,CNP
Paamiut Heliport,JFR
Qeqertarsuaq Heliport,JGO
Qaqortoq Heliport,JJU
Maniitsoq Airport,JSU
Nanortalik Heliport,JNN
Narsaq Heliport,JNS
Qaanaaq Airport,NAQ
Sisimiut Airport,JHS
Upernavik Airport,JUV
Qaarsut Airport,JQA
Grímsey Airport,GRY
Thorshofn Airport,THO
Vopnafjörður Airport,VPN
Whistler/Green Lake Water Aerodrome,YWS
Anahim Lake Airport,YAA
Williams Harbour Airport,YWM
St. Lewis (Fox Harbour) Airport,YFX
Port Hope Simpson Airport,YHA
Rigolet Airport,YRG
Colville Lake Airport,YCK
Whatì Airport,YLE
Summer Beaver Airport,SUR
Wapekeka Airport,YAX
Wunnumin Lake Airport,WNN
North Spirit Lake Airport,YNO
Bearskin Lake Airport,XBE
Kingfisher Lake Airport,KIF
Ogoki Post Airport,YOG
Poplar Hill Airport,YHP
Chisasibi Airport,YKU
Tête-à-la-Baleine Airport,ZTB
La Tabatière Airport,ZLT
Cat Lake Airport,YAC
Fort Frances Municipal Airport,YAG
Kasabonika Airport,XKS
Kangirsuk Airport,YKG
Attawapiskat Airport,YAT
Lac Du Bonnet Airport,\N
Uranium City Airport,YBE
Lourdes de Blanc Sablon Airport,YBX
Cartwright Airport,YRF
Chesterfield Inlet Airport,YCS
Nain Airport,YDP
Fort Severn Airport,YER
Fort Albany Airport,YFA
Fort Hope Airport,YFH
Makkovik Airport,YMN
Texada Gillies Bay Airport,YGB
Gods Lake Narrows Airport,YGO
Igloolik Airport,YGT
Kuujjuarapik Airport,YGW
Gillam Airport,YGX
Grise Fiord Airport,YGZ
Quaqtaq Airport,YQC
Vancouver Harbour Water Aerodrome,CXH
Nemiscau Airport,YNS
Hopedale Airport,YHO
Chevery Airport,YHR
Ivujivik Airport,YIK
Island Lake Airport,YIV
Akulivik Airport,AKV
Waskaganish Airport,YKQ
Aupaluk Airport,YPJ
Kimmirut Airport,YLC
Lansdowne House Airport,YLH
St Georges Airport,YSG
Kangiqsualujjuaq (Georges River) Airport,XGR
Mary's Harbour Airport,YMH
Chapais Airport,YMT
Umiujaq Airport,YUD
Wemindji Airport,YNC
Norway House Airport,YNE
Points North Landing Airport,YNL
Oxford House Airport,YOH
Inukjuak Airport,YPH
Pikangikum Airport,YPM
Peawanuck Airport,YPO
Powell River Airport,YPW
The Pas Airport,YQD
Nakina Airport,YQN
Rae Lakes Airport,YRA
Red Lake Airport,YRL
Stony Rapids Airport,YSF
Sanikiluaq Airport,YSK
St. Theresa Point Airport,YST
Big Trout Lake Airport,YTL
Deer Lake Airport,YVZ
Webequie Airport,YWP
Whale Cove Airport,YXN
Salluit Airport,YZG
York Landing Airport,ZAC
Ilford Airport,ILF
Bathurst Airport,ZBF
Eastmain River Airport,ZEM
Fond-Du-Lac Airport,ZFD
Gods River Airport,ZGI
Swan River Airport,ZJN
Kashechewan Airport,ZKE
Muskrat Dam Airport,MSA
Masset Airport,ZMT
Sachigo Lake Airport,ZPB
Round Lake (Weagamow Lake) Airport,ZRJ
Sandy Lake Airport,ZSJ
Shamattawa Airport,ZTM
Churchill Falls Airport,ZUM
Wollaston Lake Airport,ZWL
Batna Airport,BLJ
Béchar Boudghene Ben Ali Lotfi Airport,CBH
Bordj Badji Mokhtar Airport,BMW
Guemar Airport,ELU
Kumasi Airport,KMS
Heringsdorf Airport,HDF
Heide-Büsum Airport,HEI
Helgoland-Düne Airport,HGL
Seinäjoki Airport,SJY
Nottingham Airport,NQT
Robin Hood Doncaster Sheffield Airport,United Kingdom
Campbeltown Airport,CAL
Eday Airport,EOI
Fair Isle Airport,FIE
North Ronaldsay Airport,NRL
Papa Westray Airport,PPW
Stronsay Airport,SOY
Sanday Airport,NDY
Lerwick / Tingwall Airport,LWK
Westray Airport,WRY
Land's End Airport,LEQ
Penzance Heliport,PZE
Anglesey Airport,VLY
Barra Airport,BRR
Donegal Airport,CFN
Weston Airport,\N
Sindal Airport,CNL
Leknes Airport,LKN
Namsos Høknesøra Airport,OSY
Mo i Rana Airport,Norway
Rørvik Airport,Norway
Røst Airport,RET
Sandane Airport (Anda),SDN
Sogndal Airport,SOG
Svolvær Helle Airport,SVJ
Sørkjosen Airport,SOJ
Vardø Airport,Norway
Værøy Heliport,VRY
Bydgoszcz Ignacy Jan Paderewski Airport,BZG
Łódź Władysław Reymont Airport,LCJ
Åre Östersund Airport,OSD
Hagfors Airport,HFS
Karlstad Airport,KSD
Torsby Airport,TYF
Ängelholm-Helsingborg Airport,AGH
Storuman Airport,SQO
Hemavan Airport,HMV
Ventspils International Airport,VTS
Rand Airport,QRA
Kruger Mpumalanga International Airport,MQP
Malamala Airport,AAM
Mmabatho International Airport,MBD
Ghanzi Airport,GNZ
Orapa Airport,ORP
Shakawe Airport,SWX
Limpopo Valley Airport,TLD
Ngot Nzoungou Airport,DIS
Chipata Airport,CIP
Los Alamitos Army Air Field,SLI
Iconi Airport,YVA
Antsalova Airport,WAQ
Ankavandra Airport,JVA
Belo sur Tsiribihina Airport,BMD
Maintirano Airport,MXT
Morafenobe Airport,TVA
Tambohorano Airport,WTA
Tsiroanomandidy Airport,WTS
Ambatondrazaka Airport,WAM
Port Bergé Airport,WPB
Ambanja Airport,\N
Soalala Airport,DWB
Mampikony Airport,WMP
Nasa Shuttle Landing Facility Airport,TTS
Mandritsara Airport,WMA
Manja Airport,MJA
Catumbela Airport,CBT
Dundo Airport,DUE
Ngjiva Pereira Airport,VPE
Namibe Airport,MSZ
Koulamoutou Mabimbi Airport,KOU
Mouilla Ville Airport,MJL
Tchibanga Airport,TCH
Chimoio Airport,VPY
Sarh Airport,SRH
Club Makokola Airport,CMK
Luderitz Airport,LUD
Ondangwa Airport,OND
Oranjemund Airport,OMD
Swakopmund Airport,SWP
Eros Airport,ERS
Boma Airport,BOA
Tshimpi Airport,MAT
Inongo Airport,INO
Nioki Airport,NIO
Basango Mboliasa Airport,KRZ
Basankusu Airport,BSU
Tshikapa Airport,TSH
Lodja Airport,LJA
Ilebo Airport,PFR
La Gomera Airport,GMZ
Sherbro International Airport,BTE
Bo Airport,KBS
Kenema Airport,KEN
Osvaldo Vieira International Airport,OXB
Smara Airport,SMW
Dakhla Airport,VIL
Mogador Airport,ESU
Hassan I Airport,EUN
Nador International Airport,NDR
Praia International Airport,Cape Verde
São Filipe Airport,Cape Verde
Baco Airport,BCO
Beica Airport,BEI
Combolcha Airport,DSE
Dembidollo Airport,DEM
Gode Airport,GDE
Gore Airport,GOR
Kabri Dehar Airport,ABK
Mizan Teferi Airport,MTF
Tippi Airport,TIE
Alula Airport,ALU
Bosaso Airport,BSA
Aden Adde International Airport,MGQ
Galcaio Airport,GLK
Burao Airport,BUO
El Arish International Airport,AAC
Assiut International Airport,ATZ
Amboseli Airport,ASV
Lokichoggio Airport,LKG
Malindi Airport,MYD
Nanyuki Airport,NYK
Gardabya Airport,SRX
Gamal Abdel Nasser Airport,TOB
Mitiga Airport,MJI
La Abraq Airport,LAQ
Atbara Airport,ATB
Nyala Airport,UYL
Port Sudan New International Airport,PZU
Bukoba Airport,BKZ
Kigoma Airport,TKQ
Kikwetu Airport,LDI
Musoma Airport,MUZ
Shinyanga Airport,SHY
Tabora Airport,TBO
Arua Airport,RUA
Gulu Airport,ULU
Diu Airport,DIU
Aberdeen Regional Airport,ABR
Southwest Georgia Regional Airport,ABY
Athens Ben Epps Airport,AHN
Alamogordo White Sands Regional Airport,ALM
Waterloo Regional Airport,ALO
Walla Walla Regional Airport,ALW
Alpena County Regional Airport,APN
Watertown Regional Airport,ATY
Bradford Regional Airport,BFD
Western Neb. Rgnl/William B. Heilig Airport,BFF
Raleigh County Memorial Airport,BKW
Brunswick Golden Isles Airport,BQK
Southeast Iowa Regional Airport,BRL
Jack Mc Namara Field Airport,CEC
Cape Girardeau Regional Airport,CGI
Chippewa County International Airport,CIU
North Central West Virginia Airport,CKB
William R Fairchild International Airport,CLM
Houghton County Memorial Airport,CMX
Dodge City Regional Airport,DDC
DuBois Regional Airport,DUJ
Chippewa Valley Regional Airport,EAU
Elko Regional Airport,EKO
New Bedford Regional Airport,EWB
Fayetteville Regional Grannis Field,FAY
Wokal Field Glasgow International Airport,GGW
Central Nebraska Regional Airport,GRI
Memorial Field,HOT
Tri-State/Milton J. Ferguson Field,HTS
Kili Airport,KIO
Kirksville Regional Airport,IRK
Jamestown Regional Airport,JMS
Laramie Regional Airport,LAR
Arnold Palmer Regional Airport,LBE
North Platte Regional Airport Lee Bird Field,LBF
Lebanon Municipal Airport,LEB
Klamath Falls Airport,LMT
Lancaster Airport,LNS
Lewistown Municipal Airport,LWT
Lynchburg Regional Preston Glenn Field,LYH
Muskegon County Airport,MKG
Frank Wiley Field,MLS
Northwest Alabama Regional Airport,MSL
Southwest Oregon Regional Airport,OTH
Owensboro Daviess County Airport,OWB
Hattiesburg Laurel Regional Airport,PIB
Pocatello Regional Airport,PIH
Pierre Regional Airport,PIR
Pellston Regional Airport of Emmet County Airport,PLN
Portsmouth International at Pease Airport,PSM
Reading Regional Carl A Spaatz Field,RDG
Rhinelander Oneida County Airport,RHI
Rock Springs Sweetwater County Airport,RKS
Rutland - Southern Vermont Regional Airport,RUT
San Luis County Regional Airport,SBP
Sheridan County Airport,SHR
Adirondack Regional Airport,SLK
Salina Municipal Airport,SLN
Santa Maria Pub/Capt G Allan Hancock Field,SMX
Tupelo Regional Airport,TUP
Quincy Regional Baldwin Field,UIN
Victoria Regional Airport,VCT
Valdosta Regional Airport,VLD
Worland Municipal Airport,WRL
Yakima Air Terminal McAllister Field,YKM
Ercan International Airport,ECN
Logroño-Agoncillo Airport,RJL
Île d'Yeu Airport,IDY
Angers-Loire Airport,ANE
La Môle Airport,LTT
Syros Airport,JSY
Pécs-Pogány Airport,PEV
Győr-Pér International Airport,QGY
Sármellék International Airport,SOB
Aosta Airport,AOT
Salerno Costa d'Amalfi Airport,QSR
Corvo Airport,CVU
Banja Luka International Airport,BNX
Uşak Airport,USQ
Kars Airport,KSY
Şanlıurfa Airport,SFQ
Kahramanmaraş Airport,KCM
Ağrı Airport,AJI
Adıyaman Airport,ADF
